Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
481,Michael Adams,adamsmi01,28-012,G,01/31/1991,RS,DEN,,NJN,W,1,41,13,30,0.433,0.43,10.00,21.00,0.48,0.48,3.00,9.00,0.33,0.33,16,19,0.842,0.842,3,8,11,12,4,0,3,3,45,35.50,5.20,40.70,40.70,40.70,86.59,12.68,99.27
557,Detlef Schrempf,schrede01,30-023,F-C,02/13/1993,RS,IND,@,MIL,L,0,33,11,20,0.550,0.55,10.00,18.00,0.56,0.56,1.00,2.00,0.50,0.50,11,13,0.846,0.846,4,8,12,10,1,1,5,4,34,28.40,2.50,30.90,30.90,30.90,86.06,7.58,93.64
33,Oscar Robertson,roberos01,23,G,02/13/1962,RS,CIN,,PHI,W,1,44,17,36,0.478,0.48,17.00,35.56,0.48,0.48,,,,,8,10,0.803,0.803,3,12,15,18,,,,4,42,38.10,1.88,39.98,39.98,,86.01,4.24,90.25
1197,Dirk Nowitzki,nowitdi01,31-283,F,03/29/2010,RS,DAL,,DEN,W,1,37,7,17,0.412,0.41,3.00,12.00,0.25,0.25,4.00,5.00,0.80,0.80,16,17,0.941,0.941,3,7,10,10,0,1,2,3,34,31.60,1.60,33.20,33.20,33.20,85.41,4.32,89.73
473,Magic Johnson,johnsma02,31-138,G-F,12/30/1990,RS,LAL,,PHI,W,1,39,10,17,0.588,0.59,8.00,13.00,0.62,0.62,2.00,4.00,0.50,0.50,12,12,1.000,1.000,3,10,13,13,2,0,4,1,34,33.30,4.60,37.90,37.90,37.90,85.38,11.79,97.18
1395,Russell Westbrook,westbru01,26-112,G,03/04/2015,RS,OKC,,PHI,W,1,42,16,33,0.485,0.49,15.00,29.00,0.52,0.52,1.00,4.00,0.25,0.25,16,20,0.800,0.800,3,12,15,10,3,1,4,3,49,35.80,6.10,41.90,41.90,41.90,85.24,14.52,99.76
475,David Robinson,robinda01,25-157,C,01/10/1991,RS,SAS,,ORL,W,1,41,14,21,0.667,0.67,14.00,21.00,0.67,0.67,0.00,0.00,0.00,,15,15,1.000,1.000,4,8,12,3,4,10,4,4,43,34.80,11.80,46.60,46.60,46.60,84.88,28.78,113.66
373,Michael Jordan,jordami01,26-046,G-F,04/04/1989,RS,CHI,,CHH,W,1,40,10,15,0.667,0.67,10.00,13.00,0.77,0.77,0.00,2.00,0.00,0.00,13,15,0.867,0.867,4,6,10,12,6,1,3,1,33,33.90,8.10,42.00,42.00,42.00,84.75,20.25,105.00
381,Michael Jordan,jordami01,26-055,G-F,04/13/1989,RS,CHI,@,IND,L,1,46,17,30,0.567,0.57,17.00,29.00,0.59,0.59,0.00,1.00,0.00,0.00,13,14,0.929,0.929,2,9,11,13,4,2,4,3,47,38.90,6.90,45.80,45.80,45.80,84.57,15.00,99.57
27,Oscar Robertson,roberos01,23,G,01/11/1962,RS,CIN,,PHI,W,1,44,13,27,0.478,0.48,13.00,27.20,0.48,0.48,,,,,12,17,0.706,0.706,3,9,12,19,,,,2,38,37.37,1.98,39.35,39.35,,84.36,4.47,88.83
1560,Russell Westbrook,westbru01,28-083,G,02/03/2017,RS,OKC,,MEM,W,1,38,8,20,0.400,0.40,3.00,13.00,0.23,0.23,5.00,7.00,0.71,0.71,17,17,1.000,1.000,2,11,13,12,3,0,5,2,38,32.00,5.50,37.50,37.50,37.50,84.21,14.47,98.68
266,Doc Rivers,riverdo01,26-077,G,12/29/1987,RS,ATL,@,CHI,W,1,39,7,11,0.636,0.64,7.00,11.00,0.64,0.64,0.00,0.00,0.00,,15,17,0.882,0.882,3,11,14,12,4,0,1,3,29,32.80,6.10,38.90,38.90,38.90,84.10,15.64,99.74
937,Tracy McGrady,mcgratr01,23-275,F-G,02/23/2003,RS,ORL,@,NJN,W,1,45,16,27,0.593,0.59,13.00,19.00,0.68,0.68,3.00,8.00,0.38,0.38,11,13,0.846,0.846,0,10,10,13,0,2,4,0,46,37.80,4.40,42.20,42.20,42.20,84.00,9.78,93.78
1475,Russell Westbrook,westbru01,27-123,G,03/14/2016,RS,OKC,,POR,W,1,28,7,11,0.636,0.64,7.00,11.00,0.64,0.64,0.00,0.00,0.00,,3,6,0.500,0.500,2,8,10,16,2,1,0,2,17,23.50,4.30,27.80,27.80,27.80,83.93,15.36,99.29
174,Larry Bird,birdla01,29-116,F,04/02/1986,RS,BOS,,DET,W,1,35,12,22,0.545,0.55,9.00,16.00,0.56,0.56,3.00,6.00,0.50,0.50,2,2,1.000,1.000,4,7,11,13,2,1,1,2,29,29.30,4.00,33.30,33.30,33.30,83.71,11.43,95.14
